,Product Name,Product Price
0,Garnier Pure Active 3 In 1 Charcoal Anti Blackhead Mask,"KSh 2,140"
1,Garnier Even & Matte Vitamin C Micellar Cleansing Water - 400ml,KSh 745
2,Garnier Even&Matte Vit C Serum 30ml,"KSh 2,250"
3,Garnier Pure Active 3 In 1 Charcoal Blackheads Mask Scrub 150ml,"KSh 2,000"
4,Garnier Skinactive 4% AHA + BHA (Salicylic Acid) & Niacinamide Charcoal Serum,"KSh 2,150"
5,Garnier Skin Active Pure Charcoal Black Tissue Face Mask,"KSh 1,499"
6,Garnier PureActive Carbone - Gel detergente anti-punti neri 200ml,"KSh 1,780"
7,Garnier Micellar Cleansing Jelly Water With Charcoal,KSh 895
8,"Garnier Active Cleanser 3 In 1 Wash, Scrub, Mask","KSh 1,890"
9,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,KSh 907
10,Garnier Vitamin C Booster Serum 30ml Twin Pack,"KSh 1,900"
11,Garnier Pure Active  3in1 150ml Garnier,"KSh 2,499"
12,Garnier Even & Matte Vitamin C Booster Serum- Anti Dark Spots- 30ml.,"KSh 1,999"
13,Garnier Protection 6 In 1 Cotton Fresh Womens Roll-on - 50ml,KSh 245
14,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 1,880"
15,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,050"
16,Garnier Mineral Men Extreme Cool Roll-on - 50ml,KSh 245
17,Garnier Anti-Blemish Charcoal Serum with AHA+BHA 30ml,"KSh 2,500"
18,Garnier SkinActive Even & Matte VitaminC Booster Serum 30m,"KSh 2,799"
19,Garnier Even And Matte Instant Radiance Vitamin C Face Scrub-100ml,"KSh 1,450"
20,Garnier Even And Matte Vitamin C Booster Serum-Dark Spots,"KSh 1,999"
21,Garnier Vitamin C Night Serum,"KSh 2,495"
22,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,697"
23,Garnier Even & Matte Dark Spot Corrector - 30ml,"KSh 1,450"
24,Garnier 40ml Even & Matte Daily Cream For Very Oily Skin,"KSh 1,500"
25,Garnier Skin Active Even&Matte Vitamin C Booster Serum-Anti Dark Spots With Faster Results-30ml,"KSh 2,475"
26,Garnier Skin Naturals Light Complete Serum Cream,"KSh 3,500"
27,Garnier Pure Active 3 in1 Charcoal Anti Blackhead Mask Wash Scrub 150ml,KSh 999
28,Garnier Even&Matte Vitamin C Booster Serum-Marks Remover,"KSh 2,100"
29,Garnier 4% Niacinamide + AHA + BHA(salicylic Acid)serum For Acne,"KSh 2,999"
30,Garnier Even & Matte 8hrs Of Less Shine Normal Skin Face Cream -40ml,"KSh 1,150"
31,Garnier Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 1,767"
32,Garnier AHA +BHA CHARCOAL SERUM,"KSh 2,800"
33,Garnier Even & Matte Vitamin C Booster Serum 15ml,"KSh 1,650"
34,Garnier  Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,900"
35,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,300"
36,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,900"
37,Garnier Pure Active Pore Purifying Daily Pore Tone,"KSh 2,299"
38,Garnier Even & Matte Vitamin C Cream Normal To oily Skin 40ml,"KSh 1,750"
39,Garnier Protection 5 Mens Roll-on - 50ml,KSh 245
40,Garnier Pure Active 3 In1 Charcoal  Anti-blackheads Mask Wash Scrub,"KSh 1,700"
41,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,099"
42,Garnier Skin Naturals Black Peel-Off Mask With Charcoal,"KSh 3,800"
43,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,399"
44,Garnier  Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 2,800"
45,Garnier Even & Matte Vitamin C Booster Serum,"KSh 2,300"
46,Garnier Active Charcoal Anti-Blackhead Peel-Off Mask,"KSh 1,149"
47,Garnier Even & Matte Vitamin C Booster Serum- Anti Dark Spots- 30ml.,"KSh 2,370"
48,Garnier Even And Matte Vitamin C Booster Serum,"KSh 2,499"
49,Garnier  Even & Matte Vitamin C boost serum 30ml,"KSh 1,200"
50,Garnier Skin Natural Bright Complete White Speed Fairness Serum Cream,"KSh 3,350"
51,Garnier Even & Matte Boosted Vitamin C Dark Spot Corrector,"KSh 2,400"
52,Garnier Vitamin C Serum Even & Matte 30ml,"KSh 1,599"
53,Garnier  Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,999"
54,Garnier  Vitamin C Serum Even & Matte,"KSh 1,799"
55,Garnier Organic Lemongrass Daily Face Moisturiser,"KSh 4,400"
56,Garnier Pure Active Sensitive Anti-Blemish Soap Free Gel Wash,"KSh 3,600"
57,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,900"
58,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,100"
59,Garnier Pure Active 3 in 1 Charcoal Anti Blackhead Mask Wash Scrub 150ml,"KSh 1,999"
60,Garnier Skin Active Pure Charcoal Black Tissue Face Mask,KSh 350
61,Garnier Bye Acne & Dark Spots Kit.,"KSh 2,972"
62,Garnier Mineral Women Absolute Dry Roll-on - 50ml,KSh 245
63,Garnier Skin Active Hydrabomb Pomegranate Tissue Face Mask,KSh 350
64,Garnier Mineral Women Even Extra Roll-on - 50ml,KSh 245
65,Garnier Even & Matte Normal To Oily Skin Face Moisturizer – 40ml,KSh 735
66,Garnier Micellar Cleansing Water For Sensitive Skin - 400ml,KSh 745
67,Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 400ml,KSh 950
68,Garnier Pure Active - Matte Control Anti-Shine Moisturizer 50ml,KSh 950
69,Garnier Ampoule Tissue Face Mask - Watermelon And 1% Hyaluronic Acid 15g,KSh 395
70,Garnier Ampoule Tissue Face Mask - Kale And 2% Niacinamide 15g,KSh 395
71,Garnier Ampoule Tissue Face Mask - Pineapple And 1% Vitamin C 15g,KSh 395
72,Garnier Pure Active 3 In 1 Wash,"KSh 1,295"
73,Garnier Tissue Masks Assorted Kit - Buy 4 Get 2 Free,"KSh 1,400"
74,Garnier Pure Active Charcoal Anti-Blackhead Peel-Off Mask,"KSh 1,050"
75,Garnier Even & Matte Scrub - 100ml,KSh 995
76,Garnier Micellar Water Sensitive Skin - 100ml,KSh 495
77,Garnier Skin Active Hydrabomb Green Tea Tissue Face Mask,KSh 350
78,Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 100ml,KSh 525
79,Garnier Even & Matte Vitamin C Protective Cream Spf30,"KSh 2,000"
80,Garnier Pure Active 3 In 1 Charcoal Anti Blackhead Mask,"KSh 2,140"
81,Garnier SkinActive Moisture Rescue - Dry Skin,"KSh 3,500"
82,Garnier Even & Matte Oily Skin Face Moisturizer - 40ml,"KSh 1,600"
83,Garnier Body Sensitive 7 Days Soothing Bodylotion,"KSh 1,650"
84,Garnier Pure Active Pore Purifying Daily Pore Tone,"KSh 2,299"
85,Garnier Ultralift Anti-Wrinkle Night Cream,"KSh 6,550"
86,Garnier Intensive Hand Repair Cream,"KSh 2,100"
87,Garnier Skin Naturals Black Peel-Off Mask With Charcoal,"KSh 3,800"
88,Garnier Even & Matte Dark Spot Corrector,"KSh 2,000"
89,Garnier Vitamin C Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,890"
90,Garnier Normal Skin Intensive 7 Days Hydrating Lotion ALOE VERA FAST ABSORBING,"KSh 2,500"
91,Garnier Pure Active Micellar Cleansing Water - 400 Ml,"KSh 2,799"
92,Garnier Skin Active Pure Charcoal Black Tissue Face Mask,"KSh 1,499"
93,Garnier Skin Naturals Miracle Eye Cream,"KSh 6,200"
94,Garnier Micellar Purifying Jelly Water With Charcoal 400ml,"KSh 1,400"
95,Garnier Even &Matte 12hr Oil Control Very Oily Skin Face Cream -40ml,"KSh 1,199"
96,Garnier Even& Matte Dark Spot Corrector 30ml,"KSh 1,500"
97,Garnier Intensive 7 Days Nourishing Lotion DRY SKIN MANGO OIL,"KSh 2,500"
98,Garnier Even & Matte Oily Skin Face Moisturizer â€“ 40ml,"KSh 1,198"
99,Garnier Oil Beauty Body Scrub Dry Skin,"KSh 3,300"
100,Garnier Ultra Doux Illuminating Shampoo Camomile And Flower Honey,KSh 895
101,Garnier Even & Matte Vitamin C Cream Very Oily Skin 40ml,"KSh 2,100"
102,Garnier Micellar Cleansing Water in Oil 400ml,"KSh 1,500"
103,Garnier Even & Matte Vitamin C Cream Normal To Oily Skin,"KSh 1,500"
104,Garnier Ultra Doux Olive Oil Replenishing Shampoo,"KSh 1,200"
105,Garnier 400ml Ultra Doux Mythic Olive Shampoo,KSh 895
106,Garnier Even&Matte Vit C Serum 30ml,"KSh 2,250"
107,Garnier Intensive 7 Days Shea Butter Body Lotion Dry Skin,"KSh 3,500"
108,Garnier Ultra Doux The Marvelous Shampoo With Argan And Camelia Oil,KSh 895
109,Garnier Ultra Doux Illuminating Shampoo Camomile And Flower Honey,"KSh 1,350"
110,Garnier Intensive 7 Days Mango Body Lotion For Dry Skin,"KSh 1,999"
111,Garnier Even & Matte Gentle Cleansing Foam - 100ml,"KSh 1,899"
112,Garnier Intensive 7 Days Aloe Vera Probiotic Extract Body Lotion-250mL,"KSh 2,499"
113,Garnier INTENSIVE 7 Days Nourishing Lotion For DRY SKIN HYDRATING PROBIOTIC EXTRACT MANGO OIL,"KSh 2,500"
114,Garnier Even & Matte Dark Spot Corrector 30ml,"KSh 1,725"
115,Garnier 400ml Ultra Doux Honey Treasures Replenishing Shampoo,KSh 895
116,Garnier Ultra Doux Honey Treasures Replenishing Shampoo,"KSh 1,350"
117,Garnier Even&Matte Vitamin C Booster Serum -Dark Marks Remover Serum,"KSh 2,100"
118,Garnier Pure Active 3 In 1 Charcoal Blackheads Mask Scrub 150ml,"KSh 2,000"
119,Garnier 400ml Ultra Doux Honey Treasures Replenishing Shampoo,KSh 895
120,Garnier Even & Matte Vitamin C Dark Spot Corrector - 30ml,"KSh 1,300"
121,Garnier Even & Matte Vitamin C Dark Spot Corrector - 30ml..,"KSh 1,230"
122,Garnier SkinActive Moisture Rescue Moisturiser - Normal/Combination,"KSh 3,500"
123,Garnier Even & Matte Vitamin C Cream Normal To Oily Skin - 40ml,"KSh 1,399"
124,Garnier Skinactive 4% AHA + BHA (Salicylic Acid) & Niacinamide Charcoal Serum,"KSh 2,150"
125,Garnier Pure Active Matte Control 50ml,"KSh 1,450"
126,Garnier Even And Matte Vitamin C Booster Serum-Dark Spots,"KSh 1,999"
127,Garnier Even & Matte Vitamin C Cream - Very Oily Skin,"KSh 1,199"
128,Garnier Micellar Cleansing Water - 100ml,KSh 700
129,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,099"
130,Garnier Even & Matte Oily Skin Face Moisturizer,"KSh 1,999"
131,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,050"
132,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 1,899"
133,Garnier Pure Active 3 In 1 Wash,"KSh 2,500"
134,Garnier Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 2,599"
135,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,399"
136,Garnier Skin Active Even&Matte Vitamin C Booster Serum-Anti Dark Spots With Faster Results-30ml,"KSh 2,475"
137,Garnier Even & Matte Vitamin C Booster Serum- Anti Dark Spots- 30ml.,"KSh 2,370"
138,Garnier Even And Matte Vitamin C Booster Serum,"KSh 2,499"
139,Garnier 4% Niacinamide + AHA + BHA(salicylic Acid)serum For Acne,"KSh 2,999"
140,Garnier Even & Matte Vitamin C Day Cream Very Oily Skin - 40ml.,"KSh 1,249"
141,Garnier Ultra Doux The Marvelous Shampoo With Argan And Camelia Oil,KSh 895
142,Garnier 400ml Ultra Doux Shampoo Nourishing Avocado Oil &Shea Butter,"KSh 1,200"
143,Garnier Ultra Doux Illuminating Shampoo Camomile And Flower Honey,KSh 895
144,Garnier Even& Matte Vitamin C Cream Normal To Oily Skin 40Ml,"KSh 1,500"
145,Garnier Even And Matte Vitamin C Cleansing Foam -100ml..,"KSh 1,290"
146,Garnier SkinActive Even & Matte VitaminC Booster Serum 30m,"KSh 2,799"
147,Garnier Vitamin C Booster Serum 30ml Twin Pack,"KSh 1,900"
148,Garnier Vitamin C Night Serum,"KSh 2,495"
149,Garnier Pure Active Daily Pore Reducing Toner ,"KSh 1,300"
150,"Garnier Garnier-Pure Active Intensive Charcoal 3 in 1 Wash,Scrub and Mask 150ml","KSh 1,899"
151,Garnier Pure Active Daily Pore Reducing Toner,"KSh 1,300"
152,Garnier  Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 1,767"
153,Garnier Even & Matte Vitamin C Booster Serum 15ml,"KSh 1,650"
154,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 1,880"
155,Garnier BRIGHT COMPLETE 30X VITAMIN BOOSTER SERUM 30 ML,"KSh 2,549"
156,Garnier Even & Matte Vitamin C boost serum,"KSh 1,299 - KSh 3,000"
157,"Garnier Garnier-Pure Active Intensive Charcoal 3 in 1 Wash,Scrub and Mask 150ml","KSh 1,600"
158,Garnier  Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,900"
159,Garnier Even & Matte Oily Skin Face Moisturizer,"KSh 1,080"
160,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,300"
161,Garnier Vitamin C Serum Even & Matte 30ml,"KSh 1,599"
162,Garnier Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 2,000"
163,Garnier  Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,999"
164,Garnier  Even & Matte Oily Skin Face Moisturizer,"KSh 1,200"
165,Garnier Even & Matte Vitamin C Booster Serum 15ml,"KSh 1,000"
166,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,697"
167,"Garnier Even & Matte Gentle Vitamin C Cleansing/ Clarifying Foam -for Even Tone, Radiant Skin","KSh 1,980"
168,Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,"KSh 2,350"
169,Garnier Even & Matte Dark Spot Corrector,"KSh 1,700"
170,Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 100ml,"KSh 1,050"
171,Garnier BODY UREA 24H INTENSIVE SMOOTHING CREME  MILK 400ml,"KSh 1,900"
172,"Garnier Moisture Rescue Refreshing Oil-free, Gel-cream Face Moisturizer","KSh 3,349"
173,Garnier Micellar Water Cleansing -for Even Sensitive Skin,"KSh 1,840"
174,Garnier Pure Active 3 In1 Charcoal  Anti-blackheads Mask Wash Scrub,"KSh 1,700"
175,Garnier  Vitamin C Serum Even & Matte,"KSh 1,799"
176,Garnier  Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 2,800"
177,"Garnier  Body Tonic Firming Body Lotion , With g Phyto-Caffeine & Seaweed Extract,","KSh 2,100"
178,"Garnier Even & Matte Gentle Vitamin C Cleansing/ Clarifying Foam -for Even Tone, Radiant Skin","KSh 2,030"
179,"Garnier Moisture Rescue Refreshing Oil-free, Gel-cream Face Moisturizer","KSh 3,299"
180,Garnier Ambre Solaire Anti - Dryness Super UV SPF 50,"KSh 3,600"
181,Garnier Pure Active 3 In1 Charcoal Mask Wash Scrub,"KSh 1,767"
182,Garnier Even & Matte Vitamin C Booster Serum,"KSh 2,300"
183,Garnier Active Charcoal Anti-Blackhead Peel-Off Mask,"KSh 1,149"
184,Garnier Mineral 6-IN-1 PROTECTION 48h,KSh 859
185,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 2,700"
186,Garnier Pure Active Micellar Cleansing Water.,"KSh 2,799"
187,Garnier Body Repair Body Lotion Dry Skin,"KSh 1,550"
188,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 3,500"
189,Garnier  Pure Active 3 In 1 Wash,"KSh 3,600"
190,Garnier Vitamin C Even And Matte Cleansing Foam - 100ml,"KSh 1,500"
191,Garnier Micellar Cleansing Water 400 Ml,"KSh 1,200"
192,Garnier  Ambre Solaire After Sun Soothing Moisturising Milk ,"KSh 1,500"
193,Garnier  Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 2,600"
194,Garnier  Pure Active 3 In 1 Wash,"KSh 2,600"
195,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 2,800"
196,Garnier AHA +BHA CHARCOAL SERUM,"KSh 2,800"
197,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,600"
198,Garnier Even &Matte 12hr Oil Control Very Oily Skin Face Cream -40ml,"KSh 1,200"
199,Garnier  SkinActive Micellar Cleansing Water sensitive skin,"KSh 1,599"
200,Garnier Micellar Cleansing Water In Oil 400Ml,"KSh 1,600"
201,Garnier Matte And Even Gentle Cleansing Foam.,"KSh 1,500"
202,"Garnier Pure Active Sensitive Anti-Blemish Face Wash 150ml, Face Cleanser For Sensitive Skin, Wit","KSh 1,599"
203,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,500"
204,Garnier Pure Active  Clay (Mask Scrub Was) Oily Skin 150ml,"KSh 1,500"
205,Garnier Even & Matte Vitamin C boost serum 30ml,"KSh 1,200 - KSh 3,000"
206,Garnier Vitamin C Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,899"
207,Garnier Charcoal Serum 30ml,"KSh 2,888"
208,Garnier  AHA+BHA Charcoal Serum,"KSh 1,999"
209,Garnier Charcoal Mask BHA Pure Active 3in1 Anti Blackhead Wash Scrub Mask,"KSh 3,233"
210,Garnier Pure Active Charcoal Anti-Blackhead Peel-Off Mask,"KSh 1,899"
211,Garnier  Even & Matte Vitamin C Protection Cream 50ml,"KSh 2,300"
212,"Garnier Pure Active Intensive Charcoal 3 in 1 Wash,Scrub and Mask 150ml","KSh 1,850"
213,Garnier BRIGHT COMPLETE 30X VITAMIN BOOSTER SERUM 30 ML,"KSh 1,199"
214,Garnier Even & Matte Vitamin C Dark spot corrector 30ml,"KSh 1,200"
215,Charcoal Mask Garnier BHA Pure Active 3in1 Anti Blackhead Wash Scrub Mask,"KSh 2,695"
216,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,100"
217,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,900"
218,"Superfoods Garnier Body Superfood, Moisturising & Soothing Body Cream","KSh 3,500"
219,Garnier Pure Active 3 in 1 Charcoal Anti Blackhead Mask Wash Scrub 150ml,"KSh 1,999"
220,Garnier Pure Active Acne Clearing Scrub,"KSh 1,660"
221,Garnier Even & Matte Protective Cream 50ml,"KSh 1,900"
222,L'Oréal Paris Garnier Body OIL Beauty,"KSh 1,800"
223,Garnier Mineral Women Even Extra Roll-on - 50ml,KSh 900
224,Garnier Color Naturals Fr/gb/ar 5 Ch Cl (Light Brown) - 110ml,KSh 650
225,Garnier Pure Active 3 in1 Charcoal Anti Blackhead Mask Wash Scrub 150ml,KSh 999
